symbol,market_type,period,tp_variant,trades_count,total_return,win_rate,profit_factor
BTCUSDT,crypto_futures,2025-01,midpoint,16,-0.0426926190824968,0.125,0.0293782076246749
BTCUSDT,crypto_futures,2025-01,opposite_extreme,16,0.0056570734001049,0.4375,1.2533548165719886
BTCUSDT,crypto_futures,2025-02,midpoint,13,-0.0541322478123043,0.1538461538461538,0.0935105669653596
BTCUSDT,crypto_futures,2025-02,opposite_extreme,13,-0.0551937286588845,0.3076923076923077,0.2984903108223081
BTCUSDT,crypto_futures,2025-03,midpoint,16,-0.044104187491375,0.3125,0.1724919827787727
BTCUSDT,crypto_futures,2025-03,opposite_extreme,16,-0.002772795492607,0.5,0.94433091265377
BTCUSDT,crypto_futures,2025-04,midpoint,16,-0.0518065706995644,0.125,0.0895905615693248
BTCUSDT,crypto_futures,2025-04,opposite_extreme,16,-0.0501790086592621,0.4375,0.3161999329853318
BTCUSDT,crypto_futures,2025-05,midpoint,23,-0.0805382879404074,0.0434782608695652,0.0237307818471108
BTCUSDT,crypto_futures,2025-05,opposite_extreme,23,-0.0690618381107843,0.217391304347826,0.1746011186103888
BTCUSDT,crypto_futures,2025-06,midpoint,16,-0.0249757111318233,0.125,0.0360871165826398
BTCUSDT,crypto_futures,2025-06,opposite_extreme,16,-0.0241485775333843,0.4375,0.4326147225034707
BTCUSDT,crypto_futures,2025-07,midpoint,18,-0.0556853786176932,0.0555555555555555,0.0065873845982091
BTCUSDT,crypto_futures,2025-07,opposite_extreme,18,-0.0217637852839063,0.5,0.3961925519613999
BTCUSDT,crypto_futures,2025-08,midpoint,22,-0.0395501086138424,0.0454545454545454,0.0243100664992534
BTCUSDT,crypto_futures,2025-08,opposite_extreme,22,-0.0269547648317194,0.3636363636363636,0.392242337266391
BTCUSDT,crypto_futures,2025-09,midpoint,17,-0.0428869816566369,0.0,0.0
BTCUSDT,crypto_futures,2025-09,opposite_extreme,17,-0.0498421826143575,0.1764705882352941,0.0263808972704488
BTCUSDT,crypto_futures,2025-10,midpoint,20,-0.0640848390768945,0.05,0.0017859363660286
BTCUSDT,crypto_futures,2025-10,opposite_extreme,20,-0.058303372733111,0.2,0.0659443971868707
BTCUSDT,crypto_futures,2025-11,midpoint,21,-0.0572657752008957,0.1428571428571428,0.0788508209638455
BTCUSDT,crypto_futures,2025-11,opposite_extreme,21,-0.0112051288825977,0.4761904761904761,0.7206682645102712
BTCUSDT,crypto_futures,2025-12,midpoint,18,-0.0827038489143091,0.0555555555555555,0.0200069595367615
BTCUSDT,crypto_futures,2025-12,opposite_extreme,18,-0.0513151234695741,0.3888888888888889,0.260465894206112
QQQ,equity,2025-01,midpoint,11,-0.0046353836642516,0.5454545454545454,0.5976687410523339
QQQ,equity,2025-01,opposite_extreme,11,-0.0002917256648653,0.4545454545454545,0.993195438362295
QQQ,equity,2025-02,midpoint,6,-0.0111707612833706,0.1666666666666666,0.0217525508663782
QQQ,equity,2025-02,opposite_extreme,6,-0.0110914503983901,0.3333333333333333,0.096824723912099
QQQ,equity,2025-03,midpoint,13,-0.0271775592509653,0.2307692307692307,0.0719503017266361
QQQ,equity,2025-03,opposite_extreme,13,-0.0374759381605174,0.3846153846153846,0.2438318280810857
QQQ,equity,2025-04,midpoint,12,-0.0466753769771036,0.1666666666666666,0.0401613275626938
QQQ,equity,2025-04,opposite_extreme,12,-0.0511762774206202,0.4166666666666667,0.2268266607614228
QQQ,equity,2025-05,midpoint,12,-0.0062911340557251,0.4166666666666667,0.3175772584943342
QQQ,equity,2025-05,opposite_extreme,12,-0.0104772047931878,0.5833333333333334,0.5137533370769205
QQQ,equity,2025-06,midpoint,11,-0.0032055494571866,0.4545454545454545,0.5385094018467341
QQQ,equity,2025-06,opposite_extreme,11,0.0116021182782364,0.7272727272727273,2.793828060195484
QQQ,equity,2025-07,midpoint,11,-0.0062849024985299,0.3636363636363636,0.0781970115191053
QQQ,equity,2025-07,opposite_extreme,11,-0.0024748791079082,0.7272727272727273,0.7789157053295783
QQQ,equity,2025-08,midpoint,12,-0.0090559822778066,0.3333333333333333,0.1943328975793861
QQQ,equity,2025-08,opposite_extreme,12,-0.0059569608632238,0.5833333333333334,0.593515311114831
QQQ,equity,2025-09,midpoint,10,-0.0082802761705972,0.2,0.0619756488809202
QQQ,equity,2025-09,opposite_extreme,10,-0.003642783595513,0.6,0.6391638988556735
QQQ,equity,2025-10,midpoint,15,-0.0100513386066113,0.2666666666666666,0.2396763836992331
QQQ,equity,2025-10,opposite_extreme,15,-0.0129291386919283,0.6,0.533889478161192
QQQ,equity,2025-11,midpoint,11,-0.0077190814530011,0.4545454545454545,0.4393103472829617
QQQ,equity,2025-11,opposite_extreme,11,0.0055929958203968,0.6363636363636364,1.3509439203146485
QQQ,equity,2025-12,midpoint,16,-0.0259953638479152,0.0625,0.0132966925877404
QQQ,equity,2025-12,opposite_extreme,16,-0.0100743572517587,0.4375,0.5088710897332432
SPY,equity,2025-01,midpoint,13,-0.0034819628276654,0.3846153846153846,0.4993911344049798
SPY,equity,2025-01,opposite_extreme,13,-0.0136573326684903,0.4615384615384615,0.4186804382993648
SPY,equity,2025-02,midpoint,10,-0.021487538864597,0.2,0.0307162921974259
SPY,equity,2025-02,opposite_extreme,10,-0.022384801587485,0.0,0.0
SPY,equity,2025-03,midpoint,11,-0.0147342518854665,0.0909090909090909,0.0168822916804002
SPY,equity,2025-03,opposite_extreme,11,-0.0114021623788131,0.6363636363636364,0.4720548020286429
SPY,equity,2025-04,midpoint,13,-0.0253664841518639,0.2307692307692307,0.1242746677578767
SPY,equity,2025-04,opposite_extreme,13,-0.0019794016711299,0.5384615384615384,0.9067591302727462
SPY,equity,2025-05,midpoint,16,-0.0096311792372869,0.375,0.2226977281699877
SPY,equity,2025-05,opposite_extreme,16,-0.0161735323462492,0.4375,0.3230469491799321
SPY,equity,2025-06,midpoint,15,-0.0109191567316448,0.2,0.1510585226193874
SPY,equity,2025-06,opposite_extreme,15,-0.0010306614960996,0.5333333333333333,0.9111390241613742
SPY,equity,2025-07,midpoint,14,-0.0108657623138256,0.2142857142857142,0.0628731792136805
SPY,equity,2025-07,opposite_extreme,14,-0.0063470762468514,0.5714285714285714,0.4809262661369634
SPY,equity,2025-08,midpoint,12,-0.0051851856621197,0.3333333333333333,0.204762370441204
SPY,equity,2025-08,opposite_extreme,12,-0.0023199032623526,0.5,0.7258538147402247
SPY,equity,2025-09,midpoint,15,-0.0107577716394989,0.0666666666666666,0.0562477966467571
SPY,equity,2025-09,opposite_extreme,15,-0.0027408361070284,0.6,0.6042169147472799
SPY,equity,2025-10,midpoint,15,-0.0057843000786151,0.2,0.2310765603465759
SPY,equity,2025-10,opposite_extreme,15,-0.0094412319036224,0.6,0.5238310634414445
SPY,equity,2025-11,midpoint,11,-0.0062837908482156,0.5454545454545454,0.4500187720573462
SPY,equity,2025-11,opposite_extreme,11,0.0118878760723504,0.6363636363636364,2.6296961614789605
SPY,equity,2025-12,midpoint,15,-0.0114546855241015,0.0666666666666666,0.0176724308833453
SPY,equity,2025-12,opposite_extreme,15,-0.0141436094659771,0.4,0.2784332842907448
